file_size,total_time_taken,average_time_taken
262,0.033516,0.00012792366412213739
263,0.05661,0.0002152471482889734
264,0.034684,0.00013137878787878787
265,0.038465,0.0001451509433962264
266,0.032483,0.00012211654135338345
267,0.035314,0.0001322621722846442
268,0.035548,0.00013264179104477614
269,0.03647,0.00013557620817843867
270,0.034693,0.0001284925925925926
271,0.038529,0.00014217343173431735
272,0.034298,0.00012609558823529414
273,0.033289,0.00012193772893772894
274,0.035611,0.00012996715328467153
275,0.036338,0.00013213818181818184
276,0.042987,0.00015575
277,0.035375,0.0001277075812274368
278,0.038399,0.00013812589928057555
279,0.036383,0.00013040501792114696
280,0.04367,0.00015596428571428573
281,0.050563,0.0001799395017793594
282,0.045544,0.00016150354609929078
283,0.040573,0.00014336749116607774
284,0.038632,0.0001360281690140845
285,0.036309,0.0001274
286,0.04562,0.0001595104895104895
287,0.036367,0.0001267142857142857
288,0.033363,0.00011584375
289,0.035346,0.0001223044982698962
290,0.034557,0.00011916206896551724
291,0.035483,0.00012193470790378007
292,0.034371,0.00011770890410958904
293,0.047457,0.0001619692832764505
294,0.058815,0.00020005102040816325
295,0.043553,0.00014763728813559323
296,0.038635,0.00013052364864864867
297,0.039527,0.00013308754208754209
298,0.047545,0.0001595469798657718
299,0.065984,0.00022068227424749164
300,0.060884,0.00020294666666666666
301,0.06819,0.00022654485049833887
302,0.064914,0.00021494701986754966
303,0.055137,0.00018197029702970297
304,0.070086,0.00023054605263157893
305,0.046367,0.00015202295081967213
306,0.03948,0.00012901960784313725
307,0.040467,0.000131814332247557
308,0.03628,0.0001177922077922078
309,0.035929,0.00011627508090614888
310,0.042125,0.00013588709677419357
311,0.261397,0.0008405048231511253
312,0.061111,0.00019586858974358974
313,0.041573,0.00013282108626198083
314,0.037585,0.00011969745222929937
315,0.047705,0.00015144444444444445
316,0.048616,0.0001538481012658228
317,0.046693,0.00014729652996845426
318,0.043584,0.0001370566037735849
319,0.038636,0.00012111598746081504
320,0.067087,0.000209646875
321,0.04569,0.00014233644859813085
322,0.055849,0.000173444099378882
323,0.055678,0.00017237770897832817
324,0.062915,0.0001941820987654321
325,0.073065,0.00022481538461538463
326,0.073174,0.00022446012269938652
327,0.056266,0.00017206727828746176
328,0.059365,0.0001809908536585366
329,0.058882,0.0001789726443768997
330,0.042466,0.00012868484848484847
331,0.064822,0.0001958368580060423
332,0.056843,0.00017121385542168675
333,0.045551,0.00013678978978978978
334,0.049624,0.0001485748502994012
335,0.067027,0.0002000805970149254
336,0.056855,0.00016921130952380953
337,0.068039,0.00020189614243323442
338,0.070839,0.0002095828402366864
339,0.050738,0.00014966961651917404
340,0.04157,0.00012226470588235294
341,0.04621,0.00013551319648093843
342,0.042461,0.0001241549707602339
343,0.040536,0.00011818075801749272
344,0.036448,0.00010595348837209303
345,0.035379,0.00010254782608695652
346,0.034421,9.948265895953758e-05
347,0.053703,0.00015476368876080692
348,0.044545,0.0001280028735632184
349,0.04367,0.00012512893982808023
350,0.044467,0.00012704857142857142
351,0.037428,0.00010663247863247864
352,0.037268,0.00010587500000000001
353,0.056022,0.00015870254957507082
354,0.049704,0.00014040677966101694
355,0.047834,0.000134743661971831
356,0.044462,0.0001248932584269663
357,0.038551,0.00010798599439775911
358,0.043491,0.0001214832402234637
359,0.044474,0.00012388300835654596
360,0.039562,0.00010989444444444444
361,0.039431,0.00010922714681440444
362,0.044775,0.0001236878453038674
363,0.041785,0.00011511019283746557
364,0.041336,0.00011356043956043955
365,0.042412,0.0001161972602739726
366,0.047662,0.00013022404371584701
367,0.037581,0.00010240054495912807
368,0.042499,0.00011548641304347827
369,0.039341,0.00010661517615176152
370,0.06781,0.00018327027027027025
371,0.069754,0.00018801617250673855
372,0.053725,0.00014442204301075268
373,0.046209,0.00012388471849865952
374,0.071587,0.0001914090909090909
375,0.063002,0.00016800533333333334
376,0.044338,0.00011792021276595745
377,0.069748,0.00018500795755968172
378,0.042844,0.00011334391534391534
379,0.046396,0.0001224168865435356
380,0.043504,0.00011448421052631579
381,0.048813,0.00012811811023622047
382,0.049762,0.0001302670157068063
383,0.036532,9.538381201044387e-05
384,0.035307,9.19453125e-05
385,0.037392,9.712207792207793e-05
386,0.046631,0.00012080569948186529
387,0.055784,0.00014414470284237726
388,0.040607,0.00010465721649484535
389,0.045464,0.00011687403598971722
390,0.063756,0.00016347692307692305
391,0.052268,0.0001336777493606138
392,0.049799,0.00012703826530612245
393,0.06356,0.00016173027989821884
394,0.052676,0.0001336954314720812
395,0.038412,9.724556962025317e-05
396,0.039843,0.00010061363636363637
397,0.048807,0.00012293954659949624
398,0.05361,0.00013469849246231156
399,0.040629,0.00010182706766917293
400,0.036473,9.118249999999999e-05
401,0.037437,9.335910224438902e-05
402,0.035453,8.819154228855721e-05
403,0.035413,8.787344913151365e-05
404,0.03526,8.727722772277228e-05
405,0.050796,0.0001254222222222222
406,0.069134,0.0001702807881773399
407,0.052632,0.00012931695331695333
408,0.076221,0.00018681617647058822
409,0.068688,0.00016794132029339853
410,0.06941,0.00016929268292682927
411,0.056312,0.00013701216545012167
412,0.052714,0.00012794660194174757
413,0.050761,0.00012290799031476997
414,0.038403,9.276086956521738e-05
415,0.058646,0.0001413156626506024
416,0.067155,0.0001614302884615385
417,0.063936,0.00015332374100719427
418,0.06095,0.00014581339712918659
419,0.049143,0.00011728639618138425
420,0.052544,0.0001251047619047619
421,0.051774,0.00012297862232779099
422,0.040207,9.527725118483412e-05
423,0.043649,0.00010318912529550828
424,0.06149,0.00014502358490566037
425,0.074756,0.0001758964705882353
426,0.058272,0.0001367887323943662
427,0.055546,0.00013008430913348946
428,0.072025,0.00016828271028037384
